Modelo,Sensibilidad,ROC,GINI
SVM_Base,0.6881720430107527,0.8619197482297404,0.7238394964594808
RF_Base,0.6881720430107527,0.9196732981154697,0.8393465962309394
Bo_Base,0.6989247311827957,0.9138660971863175,0.827732194372635
SVM_SMOTE,0.7741935483870968,0.9000786782061369,0.8001573564122737
RF_SMOTE,0.8709677419354839,0.9270353302611367,0.8540706605222734
Bo_SMOTE,0.8602150537634409,0.924347158218126,0.8486943164362519
SVM_Oversampling,0.7741935483870968,0.9039938556067587,0.8079877112135174
RF_Oversampling,0.8709677419354839,0.9169944925255703,0.8339889850511406
Bo_Oversampling,0.8602150537634409,0.922998388970065,0.8459967779401301
SVM_Undersampling,0.8387096774193549,0.8825072121688958,0.7650144243377917
RF_Undersampling,0.8709677419354839,0.9218088494248998,0.8436176988497996
Bo_Undersampling,0.8709677419354839,0.910082050129257,0.820164100258514
